Country,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,CO AQI Value
Canada,26.527397260273972,2.9246575342465753,40.417808219178085,1.0890410958904109
France,31.323788546255507,2.594713656387665,50.257709251101325,1.0330396475770924
Germany,35.49626865671642,1.9440298507462686,45.35914179104478,0.7966417910447762
Italy,44.004618937644345,2.312933025404157,56.16859122401848,1.125866050808314
Japan,39.72088353413655,3.7329317269076303,42.84538152610442,1.1746987951807228
United Kingdom,27.729074889867842,3.473568281938326,35.215859030837,0.698237885462555
United States,27.83282751643905,8.482802225594336,58.18614061709661,1.5118866970156803
